"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","selact.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130913092123.csv 10",,,,"Date:","13 Sep 2013 09:21:24 CEST"

"system","memory usage",,,
"time","used","buff","cach","free"
13-09 09:21:24,2167455744.0,50528256.0,927309824.0,9448280064.0
13-09 09:21:34,2741567488.0,50544640.0,927399936.0,8874061824.0
13-09 09:21:44,2766790656.0,50561024.0,927395840.0,8848826368.0
13-09 09:21:54,2780143616.0,50577408.0,927391744.0,8835461120.0
13-09 09:22:04,2789888000.0,50585600.0,927424512.0,8825675776.0
13-09 09:22:14,2822402048.0,50601984.0,927428608.0,8793141248.0
13-09 09:22:24,2839822336.0,50618368.0,927395840.0,8775737344.0
13-09 09:22:34,2863083520.0,50642944.0,927420416.0,8752427008.0
13-09 09:22:44,2876403712.0,50659328.0,927412224.0,8739098624.0
13-09 09:22:54,2886139904.0,50679808.0,927449088.0,8729305088.0
13-09 09:23:04,2919256064.0,50696192.0,927473664.0,8696147968.0
13-09 09:23:14,2996109312.0,50704384.0,927592448.0,8619167744.0
13-09 09:23:24,3010879488.0,50733056.0,927670272.0,8604291072.0
13-09 09:23:34,3038990336.0,50741248.0,927334400.0,8576507904.0
13-09 09:23:44,3068338176.0,50765824.0,927436800.0,8547033088.0
13-09 09:23:54,3077537792.0,50782208.0,927444992.0,8537808896.0
13-09 09:24:04,3077992448.0,50790400.0,927555584.0,8537235456.0
13-09 09:24:14,3085451264.0,50823168.0,927649792.0,8529649664.0
13-09 09:24:24,3099242496.0,50847744.0,927649792.0,8515833856.0
13-09 09:24:34,3110588416.0,50855936.0,927649792.0,8504479744.0
13-09 09:24:44,3125231616.0,50876416.0,929837056.0,8487628800.0
13-09 09:24:54,3155558400.0,50917376.0,929841152.0,8457256960.0
13-09 09:25:04,3170275328.0,50933760.0,929841152.0,8442523648.0
13-09 09:25:14,3450109952.0,50958336.0,930029568.0,8162476032.0
13-09 09:25:24,3216584704.0,50995200.0,930004992.0,8395988992.0
13-09 09:25:34,3212861440.0,51015680.0,930021376.0,8399675392.0
13-09 09:25:44,3243855872.0,51032064.0,930029568.0,8368656384.0
13-09 09:25:54,3277852672.0,51048448.0,930729984.0,8333942784.0
13-09 09:26:04,3284746240.0,51068928.0,930738176.0,8327020544.0
13-09 09:26:14,3302948864.0,51077120.0,930746368.0,8308801536.0
13-09 09:26:24,3322019840.0,51085312.0,930807808.0,8289660928.0
13-09 09:26:34,3343462400.0,51138560.0,930897920.0,8268075008.0
13-09 09:26:44,3603480576.0,51179520.0,931581952.0,8007331840.0
13-09 09:26:54,3616899072.0,51195904.0,931688448.0,7993790464.0
13-09 09:27:04,3633262592.0,51212288.0,931688448.0,7977410560.0
13-09 09:27:14,3162353664.0,51224576.0,931770368.0,8448225280.0
13-09 09:27:24,3382743040.0,51245056.0,931778560.0,8227807232.0
13-09 09:27:34,3152478208.0,51265536.0,931713024.0,8458117120.0
13-09 09:27:44,3414720512.0,51281920.0,931749888.0,8195821568.0
13-09 09:27:54,3430662144.0,51306496.0,931749888.0,8179855360.0
13-09 09:28:04,3451416576.0,51314688.0,931749888.0,8159092736.0
13-09 09:28:14,3474919424.0,51339264.0,931745792.0,8135569408.0
13-09 09:28:24,3490177024.0,51347456.0,931749888.0,8120299520.0
13-09 09:28:34,3518976000.0,51355648.0,931749888.0,8091492352.0
13-09 09:28:44,3535228928.0,51372032.0,931749888.0,8075223040.0
13-09 09:28:54,3551182848.0,51396608.0,931741696.0,8059252736.0
13-09 09:29:04,3568340992.0,51404800.0,931749888.0,8042078208.0
13-09 09:29:14,3586863104.0,51421184.0,931741696.0,8023547904.0
13-09 09:29:24,3603357696.0,51429376.0,931749888.0,8007036928.0
13-09 09:29:34,3623112704.0,51437568.0,931749888.0,7987273728.0
13-09 09:29:44,3639341056.0,51453952.0,931749888.0,7971028992.0
13-09 09:29:54,3398930432.0,51462144.0,931745792.0,8211435520.0
13-09 09:30:04,3415248896.0,51482624.0,931745792.0,8195096576.0
13-09 09:30:14,3431059456.0,51490816.0,931762176.0,8179261440.0
13-09 09:30:24,3695865856.0,51519488.0,931434496.0,7914754048.0
13-09 09:30:34,3711561728.0,51527680.0,931442688.0,7899041792.0
13-09 09:30:44,3727863808.0,51544064.0,931442688.0,7882723328.0
13-09 09:30:54,3744038912.0,51560448.0,931442688.0,7866531840.0
13-09 09:31:04,3759837184.0,51568640.0,931442688.0,7850725376.0
13-09 09:31:14,3791405056.0,51585024.0,931450880.0,7819132928.0
13-09 09:31:24,3807363072.0,51601408.0,931450880.0,7803158528.0
13-09 09:31:34,3823439872.0,51617792.0,931459072.0,7787057152.0
13-09 09:31:44,3825414144.0,51638272.0,931528704.0,7784992768.0
13-09 09:31:54,3841720320.0,51654656.0,931528704.0,7768670208.0
13-09 09:32:04,3611385856.0,51662848.0,931528704.0,7998996480.0
13-09 09:32:14,3874295808.0,51699712.0,931598336.0,7735980032.0
13-09 09:32:24,3890270208.0,51716096.0,931598336.0,7719989248.0
13-09 09:32:34,4153450496.0,51732480.0,931672064.0,7456718848.0
13-09 09:32:44,4168884224.0,51748864.0,931639296.0,7441301504.0
13-09 09:32:54,4194770944.0,51765248.0,931639296.0,7415398400.0
13-09 09:33:04,4210761728.0,51773440.0,931639296.0,7399399424.0
13-09 09:33:14,4226519040.0,51789824.0,931639296.0,7383625728.0
13-09 09:33:24,4241829888.0,51806208.0,931639296.0,7368298496.0
13-09 09:33:34,4257075200.0,51814400.0,931639296.0,7353044992.0
13-09 09:33:44,4320632832.0,51843072.0,931700736.0,7289397248.0
13-09 09:33:54,4536532992.0,51859456.0,931713024.0,7073468416.0
13-09 09:34:04,4822413312.0,51937280.0,932261888.0,6786961408.0
13-09 09:34:14,4832854016.0,51945472.0,932270080.0,6776504320.0
13-09 09:34:24,3635052544.0,51957760.0,932302848.0,7974260736.0
13-09 09:34:34,3635064832.0,51986432.0,932302848.0,7974219776.0
13-09 09:34:44,3635302400.0,52002816.0,932302848.0,7973965824.0
13-09 09:34:54,3635322880.0,52011008.0,932306944.0,7973933056.0
13-09 09:35:04,3635789824.0,52027392.0,932302848.0,7973453824.0
13-09 09:35:14,3883606016.0,52056064.0,932376576.0,7725535232.0
13-09 09:35:24,4130963456.0,52076544.0,932450304.0,7478083584.0
