"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","striatum.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130912174800.csv 10",,,,"Date:","12 Sep 2013 17:48:00 CEST"

"system","memory usage",,,
"time","used","buff","cach","free"
12-09 17:48:00,2453385216.0,217837568.0,1048317952.0,13064843264.0
12-09 17:48:10,4151406592.0,218427392.0,1221480448.0,11193069568.0
12-09 17:48:20,4886728704.0,218447872.0,1220403200.0,10458804224.0
12-09 17:48:30,5593985024.0,218484736.0,1220304896.0,9751609344.0
12-09 17:48:40,5849006080.0,218562560.0,1227051008.0,9489764352.0
12-09 17:48:50,6602375168.0,218583040.0,1225875456.0,8737550336.0
12-09 17:49:00,6644580352.0,218599424.0,1225867264.0,8695336960.0
12-09 17:49:10,6679355392.0,218628096.0,1227255808.0,8659144704.0
12-09 17:49:20,6715740160.0,218660864.0,1226084352.0,8623898624.0
12-09 17:49:30,6749253632.0,218685440.0,1226084352.0,8590360576.0
12-09 17:49:40,6794387456.0,218701824.0,1226084352.0,8545210368.0
12-09 17:49:50,6826229760.0,218726400.0,1227300864.0,8512126976.0
12-09 17:50:00,6847512576.0,218759168.0,1226260480.0,8491851776.0
12-09 17:50:10,6877306880.0,218787840.0,1226379264.0,8461910016.0
12-09 17:50:20,6924476416.0,218812416.0,1226403840.0,8414691328.0
12-09 17:50:30,6976933888.0,218836992.0,1227677696.0,8360935424.0
